version	packageCount	elegance	singleClassPackages	maximumClassConcentration
jedit-2.3.2	2	0.0	1	22
jedit-2.3.3	2	0.0	1	22
jedit-2.3.4	2	0.0	1	22
jedit-2.3.5	2	0.0	1	22
jedit-2.3.6	2	0.0	1	22
jedit-2.3.7	2	0.0	1	22
jedit-2.3.f	2	0.0	1	22
jedit-2.4.1	2	0.0	1	22
jedit-2.4.2	2	0.0	1	22
jedit-2.4.f	2	0.0	1	22
jedit-2.5.1	2	0.0	1	28
jedit-2.5.f	2	0.0	1	28
jedit-2.6.f	1	0.0	0	28
jedit-3.0.0	14	26.329253537400838	0	82
jedit-3.0.1	14	26.57651640997736	0	83
jedit-3.0.2	14	26.57651640997736	0	83
jedit-3.1.0	14	28.281024142180787	0	84
jedit-3.2.0	16	31.039289618159756	1	108
jedit-3.2.1	16	31.039289618159756	1	108
jedit-3.2.2	16	31.039289618159756	1	108
jedit-4.0.0	19	35.78281671835197	2	143
jedit-4.0.2	19	35.78281671835197	2	143
jedit-4.0.3	19	35.78281671835197	2	143
jedit-4.1.0	20	35.35194478384463	2	145
jedit-4.2.0	23	39.15187818250092	2	156
jedit-4.3.0	29	47.55358702059777	2	213
jedit-4.3.1	29	47.55358702059777	2	213
jedit-4.3.2	29	47.55358702059777	2	213
jedit-4.3.3	29	47.55358702059777	2	213
jedit-4.4.1	29	51.14598722786066	2	237
jedit-4.4.2	29	51.1657677624926	2	237
jedit-4.5.0	30	50.92395201561725	2	238
jedit-4.5.1	30	50.97162609400122	2	238
jedit-4.5.2	30	51.09359603272758	2	239
jedit-5.0.0	34	50.66226628284107	3	242
jedit-5.1.0	35	49.54391167109708	2	237
jedit-5.2.0	35	50.345873105702616	2	242
jedit-5.3.0	35	51.087871478902876	2	246
jedit-5.4.0	35	52.024484031804775	2	253
jedit-5.5.0	35	52.32616702092788	2	254
jhotdraw-5.2.0	11	15.340218839690223	0	55
jhotdraw-5.3.0	11	25.657953513723513	0	91
jhotdraw-5.4.1	17	27.222395624364356	1	99
jhotdraw-5.4.2	17	27.566089192273928	1	103
jhotdraw-6.0.1	17	27.566089192273928	1	103
jhotdraw-7.0.6	16	33.95585369269929	3	133
jhotdraw-7.0.7	16	34.55650942658995	3	133
jhotdraw-7.0.8	16	36.68909706915666	1	145
jhotdraw-7.0.9	17	42.313870867838	1	173
jhotdraw-7.1.0	47	45.660080106656736	4	258
jhotdraw-7.2.0	20	42.81643959976121	4	193
jhotdraw-7.3.0	56	43.75805683831614	7	258
jhotdraw-7.3.1	56	43.82533964966117	7	258
jhotdraw-7.4.1	65	34.722207821167295	7	259
jhotdraw-7.5.1	68	33.85889136137587	8	255
jhotdraw-7.6.0	67	34.07174038676109	8	255
jhotdraw-8.0.0	67	34.07174038676109	8	255
